Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HeadOutAssignment,Chrome 72.0.3626.121,,2019-03-10 18:42:26,2019-03-10 18:43:40,1m - 14.005s,PASSED
,,,,,,
Test Cases/001-Navigate_to_URL,Chrome 72.0.3626.121,,2019-03-10 18:42:26,2019-03-10 18:42:39,12.575s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-10 18:42:28,2019-03-10 18:42:32,4.003s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-10 18:42:32,2019-03-10 18:42:32,0.257s,PASSED
navigateToUrl(URL),Chrome 72.0.3626.121,Open https://www.london-theater-tickets.com/,2019-03-10 18:42:32,2019-03-10 18:42:37,4.902s,PASSED
,,,,,,
Test Cases/002-SearchandBookShow,Chrome 72.0.3626.121,,2019-03-10 18:42:39,2019-03-10 18:43:09,30.390s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:40,2019-03-10 18:42:40,0.167s,PASSED
"setText(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), ShowName)",Chrome 72.0.3626.121,Search for The Simon and Garfunkel Story ,2019-03-10 18:42:40,2019-03-10 18:42:41,1.098s,PASSED
"sendKeys(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), Keys.chord(ENTER))",Chrome 72.0.3626.121,,2019-03-10 18:42:41,2019-03-10 18:42:41,0.236s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-10 18:42:41,2019-03-10 18:42:43,2.043s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/h1_The Simon and Garfunkel Story""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:43,2019-03-10 18:42:43,0.054s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:43,2019-03-10 18:42:43,0.073s,PASSED
"waitForElementClickable(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:43,2019-03-10 18:42:44,0.074s,PASSED
"click(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:42:44,2019-03-10 18:42:44,0.146s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-03-10 18:42:44,2019-03-10 18:42:44,0.027s,PASSED
"waitForElementPresent(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:44,2019-03-10 18:42:47,3.529s,PASSED
"scrollToElement(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:47,2019-03-10 18:42:48,0.445s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Pick a date,2019-03-10 18:42:48,2019-03-10 18:42:48,0.483s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:42:48,2019-03-10 18:42:51,3.009s,PASSED
"waitForElementNotPresent(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_SpinningLoader""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:51,2019-03-10 18:42:51,0.162s,PASSED
"switchToFrame(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/iframe_seatBooking""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:51,2019-03-10 18:42:52,0.284s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/circle_SeatSelection"", [""x"":1]), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Pick a seat,2019-03-10 18:42:52,2019-03-10 18:42:52,0.356s,PASSED
switchToDefaultContent(),Chrome 72.0.3626.121,,2019-03-10 18:42:52,2019-03-10 18:42:53,0.523s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:42:53,2019-03-10 18:42:56,3.003s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_SeatSelectionNextButton""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:42:56,2019-03-10 18:42:56,0.241s,PASSED
"waitForElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_First Name""), 30)",Chrome 72.0.3626.121,Fill form details ( CC details are junk ),2019-03-10 18:42:56,2019-03-10 18:42:57,1.335s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_First Name""), FirstName)",Chrome 72.0.3626.121,,2019-03-10 18:42:57,2019-03-10 18:42:58,0.433s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Last Name""), LastName)",Chrome 72.0.3626.121,,2019-03-10 18:42:58,2019-03-10 18:42:58,0.662s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Email""), Email)",Chrome 72.0.3626.121,,2019-03-10 18:42:58,2019-03-10 18:42:59,0.924s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Confirm Email""), Email)",Chrome 72.0.3626.121,,2019-03-10 18:42:59,2019-03-10 18:43:00,0.737s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Phone""), PhoneNumber)",Chrome 72.0.3626.121,,2019-03-10 18:43:00,2019-03-10 18:43:00,0.419s,PASSED
"scrollToElement(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number""), 10)",Chrome 72.0.3626.121,,2019-03-10 18:43:00,2019-03-10 18:43:00,0.055s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number""), CCNumber)",Chrome 72.0.3626.121,,2019-03-10 18:43:00,2019-03-10 18:43:01,0.721s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number_Expiry (MMYY)""), CCExpiry)",Chrome 72.0.3626.121,,2019-03-10 18:43:01,2019-03-10 18:43:01,0.299s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_CVV""), CVV)",Chrome 72.0.3626.121,,2019-03-10 18:43:01,2019-03-10 18:43:02,0.313s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Holder Name""), CardHolderName)",Chrome 72.0.3626.121,,2019-03-10 18:43:02,2019-03-10 18:43:02,0.685s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-10 18:43:02,2019-03-10 18:43:04,2.006s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_COMPLETE MY BOOKING""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click on next,2019-03-10 18:43:04,2019-03-10 18:43:05,0.489s,PASSED
"waitForElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_Invalid card details""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:05,2019-03-10 18:43:06,1.112s,PASSED
"verifyElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_Invalid card details""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:43:06,2019-03-10 18:43:06,0.048s,PASSED
closeWindowIndex(1),Chrome 72.0.3626.121,,2019-03-10 18:43:06,2019-03-10 18:43:06,0.114s,PASSED
switchToWindowIndex(0),Chrome 72.0.3626.121,,2019-03-10 18:43:06,2019-03-10 18:43:06,0.023s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-10 18:43:06,2019-03-10 18:43:07,1.007s,PASSED
,,,,,,
Test Cases/002-SearchandBookShow,Chrome 72.0.3626.121,,2019-03-10 18:43:09,2019-03-10 18:43:34,24.914s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:09,2019-03-10 18:43:09,0.042s,PASSED
"setText(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), ShowName)",Chrome 72.0.3626.121,Search for The Simon and Garfunkel Story ,2019-03-10 18:43:09,2019-03-10 18:43:11,1.286s,PASSED
"sendKeys(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), Keys.chord(ENTER))",Chrome 72.0.3626.121,,2019-03-10 18:43:11,2019-03-10 18:43:11,0.340s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-10 18:43:11,2019-03-10 18:43:13,2.004s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/h1_The Simon and Garfunkel Story""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:13,2019-03-10 18:43:13,0.047s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:13,2019-03-10 18:43:13,0.050s,PASSED
"waitForElementClickable(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:13,2019-03-10 18:43:13,0.039s,PASSED
"click(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:43:13,2019-03-10 18:43:13,0.132s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-03-10 18:43:13,2019-03-10 18:43:13,0.020s,PASSED
"waitForElementPresent(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:13,2019-03-10 18:43:16,2.586s,PASSED
"scrollToElement(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:16,2019-03-10 18:43:16,0.059s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Pick a date,2019-03-10 18:43:16,2019-03-10 18:43:16,0.297s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:43:16,2019-03-10 18:43:19,3.007s,PASSED
"waitForElementNotPresent(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_SpinningLoader""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:19,2019-03-10 18:43:19,0.059s,PASSED
"switchToFrame(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/iframe_seatBooking""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:19,2019-03-10 18:43:19,0.068s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/circle_SeatSelection"", [""x"":1]), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Pick a seat,2019-03-10 18:43:19,2019-03-10 18:43:20,0.298s,PASSED
switchToDefaultContent(),Chrome 72.0.3626.121,,2019-03-10 18:43:20,2019-03-10 18:43:20,0.132s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:43:20,2019-03-10 18:43:23,3.005s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_SeatSelectionNextButton""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:43:23,2019-03-10 18:43:23,0.230s,PASSED
"waitForElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_First Name""), 30)",Chrome 72.0.3626.121,Fill form details ( CC details are junk ),2019-03-10 18:43:23,2019-03-10 18:43:24,1.020s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_First Name""), FirstName)",Chrome 72.0.3626.121,,2019-03-10 18:43:24,2019-03-10 18:43:24,0.403s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Last Name""), LastName)",Chrome 72.0.3626.121,,2019-03-10 18:43:24,2019-03-10 18:43:25,0.367s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Email""), Email)",Chrome 72.0.3626.121,,2019-03-10 18:43:25,2019-03-10 18:43:26,0.734s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Confirm Email""), Email)",Chrome 72.0.3626.121,,2019-03-10 18:43:26,2019-03-10 18:43:26,0.612s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Phone""), PhoneNumber)",Chrome 72.0.3626.121,,2019-03-10 18:43:26,2019-03-10 18:43:27,0.406s,PASSED
"scrollToElement(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number""), 10)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:27,0.046s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number""), CCNumber)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:27,0.494s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number_Expiry (MMYY)""), CCExpiry)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:27,0.234s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_CVV""), CVV)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:28,0.314s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Holder Name""), CardHolderName)",Chrome 72.0.3626.121,,2019-03-10 18:43:28,2019-03-10 18:43:28,0.573s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-10 18:43:28,2019-03-10 18:43:30,2.007s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_COMPLETE MY BOOKING""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click on next,2019-03-10 18:43:30,2019-03-10 18:43:30,0.150s,PASSED
"waitForElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_Invalid card details""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:30,2019-03-10 18:43:31,0.583s,PASSED
"verifyElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_Invalid card details""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:31,0.040s,PASSED
closeWindowIndex(1),Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:31,0.090s,PASSED
switchToWindowIndex(0),Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:31,0.023s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:32,1.006s,PASSED
,,,,,,
Test Cases/003-CloseBrowser,Chrome 72.0.3626.121,,2019-03-10 18:43:34,2019-03-10 18:43:40,5.672s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:43:34,2019-03-10 18:43:37,3.005s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-10 18:43:37,2019-03-10 18:43:38,0.378s,PASSED
